proxyWallet,asset,conditionId,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,totalBought,realizedPnl,percentRealizedPnl,curPrice,redeemable,mergeable,title,slug,icon,eventId,eventSlug,outcome,outcomeIndex,oppositeOutcome,oppositeAsset,endDate,negativeRisk
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,11512022135606101409111892101277435424095244943637628350132621658656733187436,0x4f6be3a3a4d10c128211a0a430e44de4b66e7e9f7ab02a0393f1f4ad924ad980,80643.224,0.198229,15985.825650296,1411.2564200000002,-14574.569230296,-91.17182652386886,100732.525697,558.065224,-92.93244512886044,0.0175,False,False,Israel withdraws from Gaza in 2025?,israel-withdraws-from-gaza-in-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/israel-withdraws-from-gaza-in-2024-OAOdK6uvC37v.jpg,16181,israel-withdraws-from-gaza-in-2025,Yes,0,No,41158123627243409797280482436177040010605365778006722266467179035594283771722,2025-12-31,False
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,37592573364246481528037283320306899889740654585611919942245962624349713112547,0xa7abf914ff943453e41273a20df7ed5f10738bf34071d7a6a34e0dfd557b30da,76864.118158,0.043565,3348.58530755327,1960.0350130289999,-1388.5502945242702,-41.46677378629634,79419.118158,6.384945,-43.349851586560405,0.0255,False,False,Will Elon Musk be TIME's Person of the Year for 2025?,will-elon-musk-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,Yes,0,No,56608004021650347355918617009524935868546889107996621545580318470596953052863,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,35165603539035270209469650915267170915291414186795231160733227083640059691764,0xcb239105ed21a2420ba4d85090b9bc32755c56601ffdc528afd17fd6282fe930,67254.528623,0.006542,439.979126251666,302.6453788035,-137.333747448166,-31.213696117395294,70895.428623,1.410925,-34.746279770578056,0.0045,False,False,Will Gina Raimondo win the 2028 Democratic presidential nomination?,will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676-PWRJIxLqOlSS.png,30829,democratic-presidential-nominee-2028,Yes,0,No,82254794773423437491598574581796732934760602553828664932786984448280136473130,2028-11-07,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,25031066648705069862276695634486631939712281906796647729948632417639418903403,0x4f614ff81dcded0197dd94389c1796237778aee85b35d68641600755979d1035,65927.092349,0.04427,2918.59237829023,824.0886543625,-2094.5037239277294,-71.76417438445898,65927.092349,0.0,-71.76417438445898,0.0125,False,False,Will Volodymyr Zelenskyy be TIME's Person of the Year for 2025?,will-volodymyr-zelenskyy-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,Yes,0,No,88493815951920653677643509776437251899817724245590761869555265256006581806740,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,72313048300440588858232071678940695679834911972779391894748920817593525959870,0x915501c89f22aa387b67d46b32dd056fc16e837350a380a3d617260765925cf5,65583.59375,0.044424,2913.48556875,10493.375,7579.88943125,260.1656762110571,65583.59375,0.0,260.1656762110571,0.16,False,False,Will Jensen Huang be TIME's Person of the Year for 2025? ,will-personthing-e-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,Yes,0,No,54880122642903978810290301764511044148716925721352723024248000062597824137295,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,61586389394971435967549597175548847897310831994219689891504340398010581163811,0x31207d111f7b914457070f3baaeb6d938006e514d4d876b012391af2c38a65c2,65583.59375,0.044424,2913.48556875,1836.340625,-1077.14494375,-36.97100666306501,65583.59375,0.0,-36.97100666306501,0.028,False,False,Will Charlie Kirk be TIME's Person of the Year for 2025?,will-personthing-c-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,Yes,0,No,115662724736156492390652754818029454113441347016751747130673456822265018498369,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,85234879976825459752677980148652206218254342645636610918600755409606393140063,0x96abd26e588c3b7137d456bb2b12c6c1d99cf69960568e335f6b701a9cea5b3a,65583.59375,0.044424,2913.48556875,295.126171875,-2618.359396875,-89.87034035656401,65583.59375,0.0,-89.87034035656401,0.0045,False,False,Will Taylor Swift be TIME's Person of the Year for 2025?,will-taylor-swift-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,Yes,0,No,727739253264631506158192099422636240138537362597969243140595195372461231711,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,3642081727560954218031797897978141656002571698971305459667763235629581180678,0xcdd34a60d925b750d2829eee4219c6f5f64a60488b9831273e9564cb6261a5eb,65583.59375,0.044424,2913.48556875,1180.5046875,-1732.98088125,-59.48136142625607,65583.59375,0.0,-59.48136142625607,0.018,False,False,Will Jerome Powell be TIME's Person of the Year for 2025?,will-jerome-powell-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,Yes,0,No,25098093917403666186591594434085875322958337119141799505145033665042547325747,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,1891139530288101466360827889001064386176078694605601493533714481162107118833,0xef4c14b11415b770a9cc5d8fbe2528efe180e88e9f55a4d7bb478ac128f63dc8,64249.549044,0.045486,2922.454987815384,4818.7161783,1896.2611904846162,64.88589895792113,71514.538373,651.493476,48.13555851819832,0.075,False,False,Will Donald Trump be TIME's Person of the Year for 2025?,will-donald-trump-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,Yes,0,No,29001918619173663784731936150697210647086718376927619349891594131652792158865,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,57761428076807364758801249497410455358987881775226117256631754592198558850468,0xe39adea057926dc197fe30a441f57a340b2a232d5a687010f78bba9b6e02620f,64151.693623,0.00716,459.32612634068,1026.427097968,567.1009716273201,123.463687150838,87151.693623,972.858006,64.49006307762134,0.016,False,False,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,will-gretchen-whitmer-win-the-2028-democratic-presidential-nomination-676,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-gretchen-whitmer-win-the-2028-us-presidential-election-l1zZ4pOvvoCN.png,30829,democratic-presidential-nominee-2028,Yes,0,No,64300336035644500626313522990854070672468621241744347587785777226296613235598,2028-11-07,True
